frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
209,136.0,1248.0,1384.0,1536.0,1527.5,1513.5,5.0,0.0,1.7379453420347037,0,3,3,0,191.0,5.5,19.5,0.5,4.0,52;47;48;45 | 53;46;46;45,7;4;5;4 | 7;4;4;4
210,117.5,1273.0,1390.5,1536.0,1527.5,1513.5,5.0,0.0,1.1061519494103298,0,3,3,0,189.0,2.0,21.5,2.0,4.0,49;48;46;47 | 49;48;47;44,7;5;5;5 | 6;5;5;5
211,132.5,1276.5,1409.0,1536.0,1526.5,1512.5,5.0,0.0,1.1996597177133652,0,3,3,0,186.5,2.5,21.5,0.0,4.0,47;45;46;47 | 48;48;46;46,7;5;5;5 | 6;5;5;5
212,55.0,1350.5,1405.5,1536.0,1527.0,1513.0,5.0,0.0,1.2247764831171548,0,3,3,0,186.0,0.5,22.0,0.5,4.0,48;48;46;46 | 46;47;45;46,6;6;5;5 | 6;6;5;5
213,-0.5,1404.0,1403.5,1536.0,1527.5,1513.5,5.0,0.0,1.072877779361259,0,3,3,0,188.0,2.0,22.0,0.0,4.0,49;46;45;45 | 49;49;46;47,6;5;5;5 | 6;6;5;6
214,-41.5,1424.5,1383.0,1536.0,1526.5,1512.5,5.0,0.0,1.1670621459745234,0,3,3,0,185.0,3.0,22.0,0.0,4.0,48;48;46;45 | 48;44;45;46,6;6;5;5 | 6;5;5;6
215,20.5,1372.5,1393.0,1536.0,1527.5,1513.5,5.0,0.0,1.2113690997951672,0,3,3,0,182.0,3.0,22.0,0.0,4.0,48;44;47;45 | 46;47;44;43,6;5;6;5 | 6;6;5;5
216,0.0,1396.0,1396.0,1536.0,1527.5,1504.5,5.0,0.0,1.288682401076513,0,3,3,0,180.0,2.0,21.0,1.0,4.0,47;48;45;42 | 46;45;43;44,6;6;5;4 | 6;5;5;5
217,43.5,1354.5,1398.0,1536.0,1527.5,1513.5,5.0,0.0,1.251069827986493,0,3,3,0,179.0,1.0,20.0,1.0,4.0,49;45;41;42 | 49;44;44;44,6;5;3;4 | 7;5;5;5
218,-13.0,1416.0,1403.0,1536.0,1528.0,1514.0,5.0,0.0,1.3603603259937183,0,3,3,0,181.0,2.0,20.5,0.5,4.0,49;46;41;42 | 48;46;45;45,6;5;4;4 | 6;6;5;5
219,-22.5,1439.5,1417.0,1536.0,1526.0,1512.0,5.0,0.0,1.1840041409785786,0,3,3,0,176.0,5.0,20.5,0.0,4.0,47;47;39;40 | 46;46;46;41,6;6;3;4 | 6;6;6;4
220,-33.0,1446.0,1413.0,1536.0,1528.0,1514.0,5.0,0.0,1.4424890198747211,0,3,3,0,175.5,0.5,21.5,1.0,4.0,46;45;41;41 | 47;45;47;39,6;5;4;4 | 7;6;7;4
