frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
1090,44.5,1327.0,1371.5,1536.0,1526.5,1512.5,5.0,0.0,1.1351767074458659,0,3,3,0,199.0,2.5,17.0,1.5,4.0,52;49;48;49 | 51;49;49;51,6;3;3;3 | 7;4;4;4
1091,32.0,1376.5,1408.5,1536.0,1528.0,1514.0,5.0,0.0,1.5719698270161946,0,3,3,0,206.5,7.5,18.5,1.5,4.0,54;47;53;52 | 52;53;51;51,6;3;5;4 | 6;5;4;4
1092,0.0,1373.5,1373.5,1536.0,1527.5,1513.5,5.0,0.0,1.9691627546545383,0,3,3,0,207.0,0.5,20.0,1.5,4.0,50;50;53;53 | 51;51;53;53,6;4;5;5 | 6;4;5;5
1093,97.0,1274.0,1371.0,1536.0,1528.0,1500.5,5.0,0.0,1.4521515742658406,0,3,3,0,210.0,3.0,19.0,1.0,4.0,54;50;53;52 | 54;49;55;53,6;4;5;4 | 6;3;5;5
1094,88.0,1305.0,1393.0,1536.0,1526.5,1512.5,5.0,0.0,1.6743295754645953,0,3,3,0,201.0,9.0,17.5,1.5,4.0,56;52;48;45 | 56;48;50;47,6;5;4;3 | 6;4;4;3
1095,20.0,1365.0,1385.0,1536.0,1527.5,1513.5,5.0,0.0,1.5757578214009602,0,3,3,0,203.5,2.5,19.0,1.5,4.0,59;50;44;52 | 59;48;46;49,7;4;4;5 | 7;4;3;4
1096,59.5,1351.5,1411.0,1536.0,1527.5,1509.0,5.0,0.0,1.2083333333333333,0,3,3,0,204.0,0.5,19.0,0.0,4.0,54;52;49;49 | 55;49;48;52,6;5;4;4 | 6;4;4;5
1097,22.5,1378.5,1401.0,1536.0,1528.0,1514.0,5.0,0.0,1.3928571227861946,0,3,3,0,205.0,1.0,18.5,0.5,4.0,55;50;50;53 | 55;47;48;52,6;4;4;5 | 6;3;4;5
1098,11.0,1376.5,1387.5,1536.0,1528.0,1514.0,5.0,0.0,1.4238410450472054,0,3,3,0,204.0,1.0,18.5,0.0,4.0,51;51;51;54 | 51;50;47;53,6;4;4;5 | 6;4;3;5
1099,116.0,1299.0,1415.0,1536.0,1527.5,1513.5,5.0,0.0,1.6243688265482585,0,3,3,0,202.0,2.0,19.5,1.0,4.0,53;48;49;53 | 54;50;47;50,6;4;4;5 | 7;4;5;4
1100,56.0,1319.0,1375.0,1536.0,1527.0,1495.0,5.0,0.0,1.52757798814462,0,3,3,0,203.5,1.5,18.0,1.5,4.0,53;48;48;53 | 52;52;48;53,6;3;3;5 | 6;5;3;5
1101,106.0,1306.5,1412.5,1536.0,1527.0,1513.0,5.0,0.0,2.0576924109864643,1,3,3,0,202.5,1.0,17.5,0.5,4.0,55;48;49;47 | 56;53;48;49,6;4;4;4 | 6;5;3;3
1102,42.0,1343.0,1385.0,1536.0,1527.5,1513.5,5.0,0.0,1.45643949508667,0,3,3,0,198.0,4.5,17.5,0.0,4.0,58;48;48;45 | 58;49;46;44,7;4;4;3 | 7;4;3;3
1103,-22.0,1424.5,1402.5,1536.0,1528.0,1514.0,5.0,0.0,1.3928571227861946,0,3,3,0,196.5,1.5,15.5,2.0,4.0,56;47;46;47 | 56;48;46;47,6;3;3;3 | 6;4;3;3
1104,-14.0,1433.0,1419.0,1536.0,1528.0,1514.0,5.0,0.0,1.7901234096950955,0,3,3,0,194.5,2.0,16.0,0.5,4.0,54;44;46;47 | 54;49;48;47,6;3;3;3 | 6;4;4;3
1105,-14.5,1408.5,1394.0,1536.0,1528.0,1514.0,5.0,0.0,1.7234292259757178,0,3,3,0,197.0,2.5,17.5,1.5,4.0,53;43;52;46 | 53;48;50;49,6;3;5;3 | 6;4;4;4
1106,28.5,1386.5,1415.0,1536.0,1527.5,1513.5,5.0,0.0,1.59343417485555,0,3,3,0,200.0,3.0,17.5,0.0,4.0,54;46;52;48 | 53;49;51;47,6;3;5;4 | 6;4;4;3
1107,0.0,1395.0,1395.0,1536.0,1527.0,1508.5,5.0,0.0,1.6075948496083405,0,3,3,0,203.0,3.0,17.0,0.5,4.0,54;48;54;48 | 53;48;54;47,6;3;5;3 | 6;3;5;3
