sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
Badlands,31,0,29,1536,1527,5,1513,9,1483,1411,-72,0,0,0,0,0,1.3931496437116972,3,52;43;41;36,7;6;6;4,1.401298464324817e-44;9.876893997192383;6.54356050491333;4.2102274894714355;3.876893997192383;2.543560743331909;3.543560743331909;3.543560743331909
Badlands,31,1,29,1536,1527,5,1513,9,1435,1419,-16,0,0,0,0,0,1.0814061531807628,3,51;41;40;37,7;6;5;4,1.401298464324817e-44;9.428030014038086;6.428030014038086;5.761363506317139;4.094696521759033;4.094696521759033;4.428030014038086;3.0946967601776123
Badlands,32,0,29,1536,1527,5,1513,9,1503,1420,-83,0,0,0,0,0,1.2056075158062172,3,50;42;36;35,7;6;4;3,1.401298464324817e-44;8.909090995788574;5.5757575035095215;5.242424011230469;4.242424011230469;3.2424240112304688;3.909090757369995;3.2424240112304688
Badlands,32,1,29,1536,1527,5,1513,9,1378,1409,31,0,0,0,0,0,1.1900647369737571,3,50;41;38;36,7;6;5;4,1.401298464324817e-44;8.840909004211426;6.1742424964904785;4.1742424964904785;3.840909242630005;3.5075759887695312;4.1742424964904785;3.5075759887695312
Badlands,33,0,29,1536,1528,5,1514,9,1466,1412,-54,0,0,0,0,0,1.1648712771202603,3,51;43;37;36,7;7;4;4,1.401298464324817e-44;8.710227012634277;5.7102274894714355;4.7102274894714355;4.04356050491333;4.7102274894714355;4.04356050491333;3.376893997192383
Badlands,33,1,29,1536,1528,5,1514,9,1378,1416,38,0,0,0,0,0,1.151332708634899,3,53;42;37;36,7;6;5;4,1.401298464324817e-44;9.405303001403809;6.738636493682861;4.738636493682861;4.405303478240967;5.071969985961914;3.7386367321014404;3.4053032398223877
Badlands,34,0,29,1536,1528,5,1469,54,1447,1359,-88,0,0,0,0,0,1.1943677193833178,3,56;43;40;35,7;6;5;4,1.401298464324817e-44;9.763257026672363;6.096590518951416;4.429924011230469;4.096590518951416;3.4299240112304688;4.096590518951416;2.096590757369995
Badlands,34,1,29,1536,1528,5,1478,45,1439,1371,-68,0,0,0,0,0,1.510984206810558,3,54;45;40;40,7;7;5;5,1.401298464324817e-44;10.91401481628418;6.580681800842285;5.580681800842285;3.914015293121338;5.914015293121338;3.5806820392608643;4.247348785400391
Badlands,35,0,29,1536,1528,5,1514,9,1483,1407,-76,0,0,0,0,0,1,3,52;48;45;46,6;5;4;4,1.401298464324817e-44;9.931060791015625;6.931060314178467;5.2643938064575195;5.2643938064575195;4.597727298736572;3.931060791015625;2.5977272987365723
Badlands,35,1,29,1536,1527,5,1513,9,1559,1408,-151,0,0,0,0,0,1,3,52;46;47;46,6;4;5;4,1.401298464324817e-44;6.497347831726074;5.497347831726074;4.497347831726074;4.497347831726074;4.497347831726074;4.497347831726074;3.4973480701446533
