sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
chirp_20_20k_5s,96,1,28,1536,1523,793,721,9,614,623,9,51828972,2,51828972,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.3506944179534912;-0.01736108399927616;-0.6840277314186096
chirp_20_20k_5s,97,0,28,1536,1524,793,722,9,702,618,-84,51803884,2,51803884,0,0,1,3,0;0;2;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.3506944179534912;-0.01736108399927616;-0.6840277314186096
chirp_20_20k_5s,97,1,28,1536,1524,793,722,9,702,618,-84,51879148,2,51879148,0,0,1,3,0;0;2;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.107638955116272;-1.107638955116272;-1.107638955116272
chirp_20_20k_5s,98,0,28,1536,1523,793,721,9,697,600,-97,51778796,2,51778796,0,0,1,3,3;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.107638955116272;-1.107638955116272;-1.107638955116272
chirp_20_20k_5s,98,1,28,1536,1523,793,721,9,697,600,-97,51854060,2,51854060,0,0,1,3,3;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.079861044883728;-1.079861044883728;-1.079861044883728
chirp_20_20k_5s,99,0,28,1536,1514,793,712,9,603,622,19,51753708,2,51753708,0,0,1,3,0;0;0;1,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.079861044883728;-1.079861044883728;-1.079861044883728
chirp_20_20k_5s,99,1,28,1536,1514,793,712,9,603,622,19,51828972,2,51828972,0,0,1,3,0;0;0;1,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.6961805820465088;-1.029513955116272;-1.029513955116272
chirp_20_20k_5s,100,0,28,1536,1528,793,726,9,741,570,-171,51803884,2,51803884,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.6961805820465088;-1.029513955116272;-1.029513955116272
chirp_20_20k_5s,100,1,28,1536,1528,793,726,9,741,570,-171,51879148,2,51879148,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.1805555820465088;-0.8472222685813904;-0.1805555820465088
chirp_20_20k_5s,101,0,28,1536,1525,793,723,9,648,614,-34,51778796,2,51778796,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.1805555820465088;-0.8472222685813904;-0.1805555820465088
chirp_20_20k_5s,101,1,28,1536,1525,793,723,9,648,614,-34,51854060,2,51854060,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.1597222089767456;-1.1597222089767456;-1.1597222089767456
chirp_20_20k_5s,102,0,28,1536,1524,793,722,9,557,618,61,51753708,2,51753708,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.1597222089767456;-1.1597222089767456;-1.1597222089767456
chirp_20_20k_5s,102,1,28,1536,1524,793,722,9,557,618,61,51828972,2,51828972,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.125;-1.125;-1.125
chirp_20_20k_5s,103,0,28,1536,1518,793,716,9,585,585,0,51803884,2,51803884,0,0,1,3,0;1;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.125;-1.125;-1.125
chirp_20_20k_5s,103,1,28,1536,1518,793,716,9,585,585,0,51879148,2,51879148,0,0,1,3,0;1;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.267361044883728;-1.267361044883728;-1.267361044883728
chirp_20_20k_5s,104,0,28,1536,1528,793,726,9,659,611,-48,51778796,2,51778796,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.267361044883728;-1.267361044883728;-1.267361044883728
chirp_20_20k_5s,104,1,28,1536,1528,793,726,9,659,611,-48,51854060,2,51854060,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.2777777910232544;-1.2777777910232544;-1.2777777910232544
chirp_20_20k_5s,105,0,28,1536,1523,793,721,9,817,617,-200,51753708,2,51753708,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.2777777910232544;-1.2777777910232544;-1.2777777910232544
chirp_20_20k_5s,105,1,28,1536,1523,793,721,9,817,617,-200,51828972,2,51828972,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.173611044883728;-1.173611044883728;-1.173611044883728
chirp_20_20k_5s,106,0,28,1536,1526,793,724,9,899,579,-320,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.173611044883728;-1.173611044883728;-1.173611044883728
chirp_20_20k_5s,106,1,28,1536,1526,793,724,9,899,579,-320,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.265625;-1.265625;-1.265625
chirp_20_20k_5s,107,0,28,1536,1527,793,725,9,984,616,-368,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.265625;-1.265625;-1.265625
chirp_20_20k_5s,107,1,28,1536,1527,793,725,9,984,616,-368,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3888888359069824;-1.0555554628372192;-1.3888888359069824
chirp_20_20k_5s,108,0,28,1536,1525,793,723,9,815,624,-191,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3888888359069824;-1.0555554628372192;-1.3888888359069824
chirp_20_20k_5s,108,1,28,1536,1525,793,723,9,815,624,-191,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.2777777910232544;-1.2777777910232544;0.3888889253139496
chirp_20_20k_5s,109,0,28,1536,1527,793,725,9,656,620,-36,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.2777777910232544;-1.2777777910232544;0.3888889253139496
chirp_20_20k_5s,109,1,28,1536,1527,793,725,9,656,620,-36,0,2,0,0,0,1.2857142857142858,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3125;-1.3125;1.6875
chirp_20_20k_5s,110,0,28,1536,1528,793,726,9,636,594,-42,0,2,0,0,0,1.2857142857142858,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3125;-1.3125;1.6875
chirp_20_20k_5s,110,1,28,1536,1528,793,726,9,636,594,-42,0,2,0,0,0,1.5486722222154705,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3923611640930176;-0.3923611640930176;0.6076388359069824
chirp_20_20k_5s,111,0,28,1536,1523,793,721,9,562,593,31,0,2,0,0,0,1.5486722222154705,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3923611640930176;-0.3923611640930176;0.6076388359069824
chirp_20_20k_5s,111,1,28,1536,1523,793,721,9,562,593,31,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3454861640930176;-0.3454861640930176;-1.0121527910232544
chirp_20_20k_5s,112,0,27,1536,1526,793,724,9,605,627,22,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.3454861640930176;-0.3454861640930176;-1.0121527910232544
chirp_20_20k_5s,112,1,27,1536,1526,793,724,9,605,627,22,0,2,0,0,1,4.303867986505707,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.3142360746860504;1.3524305820465088;-1.314236044883728
chirp_20_20k_5s,113,0,28,1536,1527,793,725,9,728,619,-109,0,2,0,0,1,4.303867986505707,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;-0.3142360746860504;1.3524305820465088;-1.314236044883728
chirp_20_20k_5s,113,1,28,1536,1527,793,725,9,728,619,-109,0,2,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;1.8611111640930176;-0.805555522441864;-1.4722222089767456
chirp_20_20k_5s,114,0,27,1536,1523,793,721,9,634,587,-47,0,2,0,0,0,1,3,0;0;0;3,0;0;0;0,1.401298464324817e-44;6;3;3;3;1.8611111640930176;-0.805555522441864;-1.4722222089767456
chirp_20_20k_5s,114,1,27,1536,1523,793,721,9,634,587,-47,0,2,0,0,0,1,3,0;0;0;3,0;0;0;0,1.401298464324817e-44;6;3;3;3;1.9253472089767456;-1.4079861640930176;-1.4079861640930176
chirp_20_20k_5s,115,0,27,1536,1492,793,690,9,574,603,29,0,2,0,0,0,1,3,0;0;0;9,0;0;0;7,1.401298464324817e-44;6;3;3;3;1.9253472089767456;-1.4079861640930176;-1.4079861640930176
chirp_20_20k_5s,115,1,27,1536,1492,793,690,9,574,603,29,0,2,0,0,0,1,3,0;0;0;9,0;0;0;7,1.401298464324817e-44;6;3;3;3;-1.2881944179534912;-1.2881944179534912;-1.2881944179534912
chirp_20_20k_5s,116,0,27,1536,1455,793,653,9,566,566,0,0,2,0,0,0,1,3,0;0;0;3,0;0;0;0,1.401298464324817e-44;6;3;3;3;-1.2881944179534912;-1.2881944179534912;-1.2881944179534912
